Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
Industri (energi och processer),Västra Götalands län,Härryda,2407.979,2020.598,3032.096,2389.639,2597.265,2125.278,2662.165,2028.565
Industri (energi och processer),Västra Götalands län,Partille,2213.111,1914.801,1957.837,2127.725,2287.905,2570.625,2374.817,1887.396
Industri (energi och processer),Västra Götalands län,Öckerö,448.6552,430.0961,426.5713,427.7225,438.251,385.0424,477.9748,443.5422
Industri (energi och processer),Västra Götalands län,Stenungsund,990001.9,931461.0,903605.8,963615.1,908235.6,854175.2,984865.8,953374.0
Industri (energi och processer),Västra Götalands län,Tjörn,938.2148,822.8595,828.1665,903.7798,976.5318,806.2641,1011.351,801.9252
Industri (energi och processer),Västra Götalands län,Orust,1065.544,945.2669,941.2228,1003.929,1074.104,895.615,1114.755,906.3581
Industri (energi och processer),Västra Götalands län,Sotenäs,4206.103,3825.049,3639.639,3708.473,3658.742,3323.149,3514.935,3052.956
Industri (energi och processer),Västra Götalands län,Munkedal,26420.09,17761.33,3708.776,2172.554,5741.823,14325.6,29628.42,44902.99
Industri (energi och processer),Västra Götalands län,Tanum,802.9481,676.7359,701.5387,745.3081,779.4864,674.6952,825.5348,661.1431
Industri (energi och processer),Västra Götalands län,Dals-Ed,628.8617,523.6435,517.6436,587.6538,663.6664,558.7815,668.7669,458.0341
Industri (energi och processer),Västra Götalands län,Färgelanda,532.6104,466.9805,962.0503,477.4967,532.2054,484.3663,550.798,407.2802
Industri (energi och processer),Västra Götalands län,Ale,20893.21,18520.98,18208.19,17377.27,17976.31,19868.04,22772.75,23495.14
Industri (energi och processer),Västra Götalands län,Lerum,2223.955,1939.963,3120.836,3239.322,3377.282,3073.742,2450.976,2923.533
Industri (energi och processer),Västra Götalands län,Vårgårda,5112.201,4290.412,3740.412,3709.773,4017.102,3917.092,4542.807,4009.176
Industri (energi och processer),Västra Götalands län,Bollebygd,637.1784,544.7697,558.0595,619.2032,683.0479,571.9644,705.1403,736.8359
Industri (energi och processer),Västra Götalands län,Grästorp,304.5287,283.6608,262.4573,267.2687,283.8852,257.1045,303.1641,260.0392
Industri (energi och processer),Västra Götalands län,Essunga,2020.58,2078.465,1943.31,1663.212,1864.448,1778.231,1770.133,2157.814
Industri (energi och processer),Västra Götalands län,Karlsborg,574.3605,505.3306,470.3097,511.9978,558.8994,471.4362,577.6613,445.4234
Industri (energi och processer),Västra Götalands län,Gullspång,1033.403,1020.923,691.2346,713.7202,775.1372,751.8185,787.4081,726.3324
Industri (energi och processer),Västra Götalands län,Tranemo,66161.31,67813.11,67451.48,66379.91,66325.91,66406.07,61267.5,67764.03
Industri (energi och processer),Västra Götalands län,Bengtsfors,40264.65,37148.88,37365.29,35654.91,34835.18,31120.55,33982.68,36720.98
Industri (energi och processer),Västra Götalands län,Mellerud,545.4343,501.6224,454.8075,472.7179,502.4698,434.9338,535.8824,453.6051
Industri (energi och processer),Västra Götalands län,Lilla Edet,49089.17,49139.69,36704.87,22513.48,23025.47,24294.0,25571.09,25415.04
Industri (energi och processer),Västra Götalands län,Mark,14854.27,12977.79,12265.02,10431.86,9090.422,4888.11,5034.263,4206.985
Industri (energi och processer),Västra Götalands län,Svenljunga,5315.842,3453.764,868.193,934.0249,1063.918,1001.934,1095.811,772.0006
Industri (energi och processer),Västra Götalands län,Herrljunga,1129.633,930.5183,933.1031,1075.222,1210.837,985.4117,1211.171,826.2522
Industri (energi och processer),Västra Götalands län,Vara,4858.111,3139.87,3225.698,3895.262,2513.627,2040.363,2543.907,2913.167
Industri (energi och processer),Västra Götalands län,Götene,61104.46,53077.31,59182.6,56537.59,52358.1,53690.58,63491.96,70519.34
Industri (energi och processer),Västra Götalands län,Tibro,1724.275,1419.347,1432.924,1647.353,1841.767,1471.914,1840.461,1291.274
