Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
Egen uppvärmning av bostäder och lokaler,Stockholms län,Salem,1927.336,1427.903,1334.92,1187.74,1050.076,1008.24,900.3441,893.7775
Egen uppvärmning av bostäder och lokaler,Stockholms län,Haninge,8867.236,6779.549,6319.575,5482.174,4931.392,4714.965,4323.233,4231.378
Egen uppvärmning av bostäder och lokaler,Stockholms län,Tyresö,4110.707,2952.374,2766.599,2514.925,2186.055,2108.73,1827.297,1838.234
Egen uppvärmning av bostäder och lokaler,Stockholms län,Upplands-Bro,3479.198,2821.537,2620.008,2189.176,2031.905,1928.181,1859.019,1781.551
Egen uppvärmning av bostäder och lokaler,Stockholms län,Nykvarn,1859.541,1436.832,1345.812,1183.754,1064.398,1016.974,947.9913,930.7343
Egen uppvärmning av bostäder och lokaler,Stockholms län,Täby,12053.74,8740.387,8168.545,7308.584,6398.781,6157.597,5377.022,5368.154
Egen uppvärmning av bostäder och lokaler,Stockholms län,Danderyd,5699.105,4096.234,3832.689,3456.731,3010.722,2900.753,2514.476,2521.604
Egen uppvärmning av bostäder och lokaler,Stockholms län,Sollentuna,5607.759,4327.581,4012.925,3417.528,3107.775,2965.637,2730.681,2653.108
Egen uppvärmning av bostäder och lokaler,Stockholms län,Stockholm,45935.46,34632.52,32177.02,27709.34,24855.56,23787.36,21427.21,20962.57
Egen uppvärmning av bostäder och lokaler,Stockholms län,Södertälje,11058.45,8878.717,8240.534,6894.23,6374.063,6054.564,5782.688,5550.538
Egen uppvärmning av bostäder och lokaler,Stockholms län,Nacka,8708.796,6577.946,6115.257,5282.682,4739.509,4536.848,4095.919,4011.155
Egen uppvärmning av bostäder och lokaler,Stockholms län,Sundbyberg,1156.604,854.3476,796.2018,700.0216,620.0224,595.0572,527.6244,521.8077
Egen uppvärmning av bostäder och lokaler,Stockholms län,Solna,1839.855,1557.475,1424.571,1094.665,1057.981,996.0611,981.004,907.4602
Egen uppvärmning av bostäder och lokaler,Stockholms län,Lidingö,6173.062,4483.191,4187.694,3737.388,3276.186,3151.924,2754.589,2746.858
Egen uppvärmning av bostäder och lokaler,Stockholms län,Vaxholm,3199.916,2471.673,2290.772,1934.748,1760.142,1679.065,1543.704,1494.275
Egen uppvärmning av bostäder och lokaler,Stockholms län,Norrtälje,24138.83,19362.0,18064.77,15619.73,14363.61,13657.82,13159.84,12794.4
Egen uppvärmning av bostäder och lokaler,Stockholms län,Sigtuna,5635.181,4608.211,4276.152,3548.975,3308.959,3136.708,3043.525,2906.732
Egen uppvärmning av bostäder och lokaler,Stockholms län,Nynäshamn,5603.857,4487.798,4173.606,3519.477,3241.752,3081.278,2941.624,2832.027
